GCA_Accession	Assembly_Accession	Assembly_Name	Organism	Genus	Species	TaxID	Assembly_Level	Total_Length	Contig_N50	Scaffold_N50	BioProject	BioSample	Submission_Date	Release_Date	File_Size_MB	Filename
GCA_014653235.1	GCA_014653235.1	ASM1465323v1	Deinococcus metalli (bacteria)	Unknown	Deinococcus metalli	1141878	Contig	0	338570	338570	Unknown	SAMD00245113	2020/09/12 00:00	Unknown	2.46	GCA_014653235.1_ASM1465323v1_genomic.fna.gz
GCA_014647075.1	GCA_014647075.1	ASM1464707v1	Deinococcus aerophilus (bacteria)	Unknown	Deinococcus aerophilus	522488	Scaffold	0	97794	97794	Unknown	SAMD00245257	2020/09/12 00:00	Unknown	0.98	GCA_014647075.1_ASM1464707v1_genomic.fna.gz
GCA_000701405.1	GCA_000701405.1	ASM70140v1	Deinococcus marmoris DSM 12784 (bacteria)	Unknown	Deinococcus marmoris	1121381	Scaffold	0	39523	39523	Unknown	SAMN02841164	2014/06/11 00:00	Unknown	1.34	GCA_000701405.1_ASM70140v1_genomic.fna.gz
GCA_018260555.1	GCA_018260555.1	ASM1826055v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Scaffold	0	36844	38131	Unknown	SAMN18543076	2021/05/04 00:00	Unknown	0.86	GCA_018260555.1_ASM1826055v1_genomic.fna.gz
GCA_042661725.1	GCA_042661725.1	ASM4266172v1	Deinococcus aquaticus (bacteria)	Unknown	Deinococcus aquaticus	328692	Contig	0	3178454	3178454	Unknown	SAMN43283315	2024/10/06 00:00	Unknown	1.12	GCA_042661725.1_ASM4266172v1_genomic.fna.gz
GCA_004758605.1	GCA_004758605.1	ASM475860v1	Deinococcus metallilatus (bacteria)	Unknown	Deinococcus metallilatus	1211322	Chromosome	0	3062036	3062136	Unknown	SAMN10762628	2019/04/09 00:00	Unknown	1.18	GCA_004758605.1_ASM475860v1_genomic.fna.gz
GCA_003860465.1	GCA_003860465.1	ASM386046v1	Deinococcus psychrotolerans (bacteria)	Unknown	Deinococcus psychrotolerans	2489213	Complete Genome	0	2784072	2784072	Unknown	SAMN10440545	2018/12/04 00:00	Unknown	1.23	GCA_003860465.1_ASM386046v1_genomic.fna.gz
GCA_042661285.1	GCA_042661285.1	ASM4266128v1	Deinococcus radiophilus (bacteria)	Unknown	Deinococcus radiophilus	32062	Contig	0	2188358	2188358	Unknown	SAMN43283341	2024/10/06 00:00	Unknown	0.91	GCA_042661285.1_ASM4266128v1_genomic.fna.gz
GCA_046297535.1	GCA_046297535.1	ASM4629753v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Scaffold	0	14327	16276	Unknown	SAMN45832835	2024/12/25 00:00	Unknown	1.13	GCA_046297535.1_ASM4629753v1_genomic.fna.gz
GCA_004634215.1	GCA_004634215.1	ASM463421v1	Deinococcus fonticola (bacteria)	Unknown	Deinococcus fonticola	2528713	Contig	0	108308	108308	Unknown	SAMN10986321	2019/04/04 00:00	Unknown	1.09	GCA_004634215.1_ASM463421v1_genomic.fna.gz
GCA_021378295.1	GCA_021378295.1	ASM2137829v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2644251	2644251	Unknown	SAMN17058454	2022/01/06 00:00	Unknown	0.9	GCA_021378295.1_ASM2137829v1_genomic.fna.gz
GCA_003028415.1	GCA_003028415.1	ASM302841v1	Deinococcus arcticus (bacteria)	Unknown	Deinococcus arcticus	2136176	Contig	0	197236	197236	Unknown	SAMN08779876	2018/04/01 00:00	Unknown	1.11	GCA_003028415.1_ASM302841v1_genomic.fna.gz
GCA_003206515.1	GCA_003206515.1	ASM320651v1	Deinococcus actinosclerus (bacteria)	Unknown	Deinococcus actinosclerus	1768108	Complete Genome	0	3315586	3315586	Unknown	SAMN09356193	2018/06/11 00:00	Unknown	1.08	GCA_003206515.1_ASM320651v1_genomic.fna.gz
GCA_034440735.1	GCA_034440735.1	ASM3444073v1	Deinococcus sp. AB2017081 (bacteria)	Unknown	Deinococcus sp. AB2017081	3093660	Complete Genome	0	3737572	3737572	Unknown	SAMN38125204	2023/12/18 00:00	Unknown	2.17	GCA_034440735.1_ASM3444073v1_genomic.fna.gz
GCA_014647275.1	GCA_014647275.1	ASM1464727v1	Deinococcus humi (bacteria)	Unknown	Deinococcus humi	662880	Scaffold	0	204372	206681	Unknown	SAMD00245269	2020/09/12 00:00	Unknown	3.78	GCA_014647275.1_ASM1464727v1_genomic.fna.gz
GCA_011604825.1	GCA_011604825.1	ASM1160482v1	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Complete Genome	0	2648637	2648637	Unknown	SAMN14371617	2020/03/22 00:00	Unknown	0.9	GCA_011604825.1_ASM1160482v1_genomic.fna.gz
GCA_042649355.1	GCA_042649355.1	ASM4264935v1	Deinococcus antarcticus (bacteria)	Unknown	Deinococcus antarcticus	1298767	Contig	0	32851	32851	Unknown	SAMN43282043	2024/10/05 00:00	Unknown	1.15	GCA_042649355.1_ASM4264935v1_genomic.fna.gz
GCA_002017875.1	GCA_002017875.1	ASM201787v1	Deinococcus sp. LM3 (bacteria)	Unknown	Deinococcus sp. LM3	1938608	Contig	0	3051261	3051261	Unknown	SAMN06263771	2017/03/03 00:00	Unknown	1.18	GCA_002017875.1_ASM201787v1_genomic.fna.gz
GCA_039545055.1	GCA_039545055.1	ASM3954505v1	Deinococcus carri (bacteria)	Unknown	Deinococcus carri	1211323	Contig	0	182222	182222	Unknown	SAMD00542632	2024/03/26 00:00	Unknown	1.07	GCA_039545055.1_ASM3954505v1_genomic.fna.gz
GCA_003444775.1	GCA_003444775.1	ASM344477v1	Deinococcus ficus (bacteria)	Unknown	Deinococcus ficus	317577	Complete Genome	0	2801970	2801970	Unknown	SAMN06314862	2017/07/27 00:00	Unknown	1.12	GCA_003444775.1_ASM344477v1_genomic.fna.gz
GCA_030128925.1	GCA_030128925.1	ASM3012892v1	Deinococcus sp. 43 (bacteria)	Unknown	Deinococcus sp. 43	532020	Contig	0	203832	203832	Unknown	SAMN31747608	2023/05/30 00:00	Unknown	1.98	GCA_030128925.1_ASM3012892v1_genomic.fna.gz
GCA_020547085.1	GCA_020547085.1	ASM2054708v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2645384	2645384	Unknown	SAMN11332832	2021/10/25 00:00	Unknown	0.89	GCA_020547085.1_ASM2054708v1_genomic.fna.gz
GCA_965247185.1	GCA_965247185.1	glEphLana1.Deinococcus_sp_1.1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Chromosome	0	2940695	2940695	Unknown	SAMEA117994175	2025/04/18 00:00	Unknown	1.05	GCA_965247185.1_glEphLana1.Deinococcus_sp_1.1_genomic.fna.gz
GCA_000196275.1	GCA_000196275.1	ASM19627v1	Deinococcus geothermalis DSM 11300 (bacteria)	Unknown	Deinococcus geothermalis	319795	Complete Genome	0	2467205	2467205	Unknown	SAMN02598303	2007/10/17 00:00	Unknown	0.9	GCA_000196275.1_ASM19627v1_genomic.fna.gz
GCA_000348665.1	GCA_000348665.1	R12	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Contig	0	31252	31252	Unknown	SAMN02470573	2013/03/22 00:00	Unknown	0.93	GCA_000348665.1_R12_genomic.fna.gz
GCA_001485435.1	GCA_001485435.1	ASM148543v1	Deinococcus grandis (bacteria)	Unknown	Deinococcus grandis	57498	Contig	0	3250361	3250361	Unknown	SAMD00043215	2015/12/08 00:00	Unknown	1.1	GCA_001485435.1_ASM148543v1_genomic.fna.gz
GCA_001007995.1	GCA_001007995.1	ASM100799v1	Deinococcus soli (ex Cha et al. 2016) (bacteria)	Unknown	Deinococcus soli (ex Cha et al. 2016)	1309411	Complete Genome	0	3236984	3236984	Unknown	SAMN03287573	2015/05/15 00:00	Unknown	0.87	GCA_001007995.1_ASM100799v1_genomic.fna.gz
GCA_040256395.1	GCA_040256395.1	GCC_DsonKR87_v1	Deinococcus sonorensis KR-87 (bacteria)	Unknown	Deinococcus sonorensis	694439	Complete Genome	0	3027404	3027404	Unknown	SAMN41749950	2024/06/21 00:00	Unknown	1.3	GCA_040256395.1_GCC_DsonKR87_v1_genomic.fna.gz
GCA_031359855.1	GCA_031359855.1	ASM3135985v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Contig	0	6615	6615	Unknown	SAMN29838049	2023/09/12 00:00	Unknown	2.15	GCA_031359855.1_ASM3135985v1_genomic.fna.gz
GCA_014640655.1	GCA_014640655.1	ASM1464065v1	Deinococcus soli (ex Cha et al. 2016) (bacteria)	Unknown	Deinococcus soli (ex Cha et al. 2016)	1309411	Scaffold	0	76802	112610	Unknown	SAMD00245015	2020/09/12 00:00	Unknown	1.29	GCA_014640655.1_ASM1464065v1_genomic.fna.gz
GCA_047523805.1	GCA_047523805.1	ASM4752380v1	Deinococcus sp. VB343 (bacteria)	Unknown	Deinococcus sp. VB343	3385567	Complete Genome	0	2804072	2804072	Unknown	SAMN44563937	2025/02/10 00:00	Unknown	1.03	GCA_047523805.1_ASM4752380v1_genomic.fna.gz
GCA_001413985.2	GCA_001413985.2	ASM141398v2	Deinococcus sp. UR1 (bacteria)	Unknown	Deinococcus sp. UR1	1704277	Contig	0	143250	143250	Unknown	SAMN04002371	2017/11/04 00:00	Unknown	1.21	GCA_001413985.2_ASM141398v2_genomic.fna.gz
GCA_039535175.1	GCA_039535175.1	ASM3953517v1	Deinococcus persicinus (bacteria)	Unknown	Deinococcus persicinus	1848199	Contig	0	4569959	4569959	Unknown	SAMD00645464	2024/02/23 00:00	Unknown	2.45	GCA_039535175.1_ASM3953517v1_genomic.fna.gz
GCA_002901445.1	GCA_002901445.1	ASM290144v1	Deinococcus koreensis (bacteria)	Unknown	Deinococcus koreensis	2054903	Contig	0	3524480	3524480	Unknown	SAMN08040562	2018/01/27 00:00	Unknown	1.22	GCA_002901445.1_ASM290144v1_genomic.fna.gz
GCA_000020685.1	GCA_000020685.1	ASM2068v1	Deinococcus deserti VCD115 (bacteria)	Unknown	Deinococcus deserti	546414	Complete Genome	0	2819842	2819842	Unknown	SAMN02603250	2009/04/02 00:00	Unknown	1.08	GCA_000020685.1_ASM2068v1_genomic.fna.gz
GCA_020166395.1	GCA_020166395.1	ASM2016639v1	Deinococcus betulae (bacteria)	Unknown	Deinococcus betulae	2873312	Contig	0	121760	121760	Unknown	SAMN20982217	2021/09/25 00:00	Unknown	2.35	GCA_020166395.1_ASM2016639v1_genomic.fna.gz
GCA_014647055.1	GCA_014647055.1	ASM1464705v1	Deinococcus aerolatus (bacteria)	Unknown	Deinococcus aerolatus	522487	Scaffold	0	182602	198266	Unknown	SAMD00245256	2020/09/12 00:00	Unknown	1.09	GCA_014647055.1_ASM1464705v1_genomic.fna.gz
GCA_042655005.1	GCA_042655005.1	ASM4265500v1	Deinococcus sonorensis (bacteria)	Unknown	Deinococcus sonorensis	309891	Contig	0	286250	286250	Unknown	SAMN43283094	2024/10/05 00:00	Unknown	1.35	GCA_042655005.1_ASM4265500v1_genomic.fna.gz
GCA_054352975.1	GCA_054352975.1	ASM5435297v1	Deinococcus sp. PESE-38 (bacteria)	Unknown	Deinococcus sp. PESE-38	3568621	Complete Genome	0	2795085	2795085	Unknown	SAMN54355136	2026/01/05 00:00	Unknown	1.01	GCA_054352975.1_ASM5435297v1_genomic.fna.gz
GCA_042650045.1	GCA_042650045.1	ASM4265004v1	Deinococcus metalli (bacteria)	Unknown	Deinococcus metalli	1141878	Contig	0	3418040	3418040	Unknown	SAMN43282002	2024/10/05 00:00	Unknown	1.27	GCA_042650045.1_ASM4265004v1_genomic.fna.gz
GCA_048822035.1	GCA_048822035.1	ASM4882203v1	Deinococcus sp. ME38 (bacteria)	Unknown	Deinococcus sp. ME38	3400344	Contig	0	98273	98273	Unknown	SAMN46830730	2025/03/23 00:00	Unknown	1.02	GCA_048822035.1_ASM4882203v1_genomic.fna.gz
GCA_014875875.1	GCA_014875875.1	ASM1487587v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	33013	34666	Unknown	SAMN16242088	2020/10/10 00:00	Unknown	0.93	GCA_014875875.1_ASM1487587v1_genomic.fna.gz
GCA_014648155.1	GCA_014648155.1	ASM1464815v1	Deinococcus knuensis (bacteria)	Unknown	Deinococcus knuensis	1837380	Contig	0	145773	145773	Unknown	SAMD00245322	2020/09/12 00:00	Unknown	2.78	GCA_014648155.1_ASM1464815v1_genomic.fna.gz
GCA_020546805.1	GCA_020546805.1	ASM2054680v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2645385	2645385	Unknown	SAMN11332827	2021/10/25 00:00	Unknown	0.88	GCA_020546805.1_ASM2054680v1_genomic.fna.gz
GCA_965138315.1	GCA_965138315.1	CIP109230T	Deinococcus frigens (bacteria)	Unknown	Deinococcus frigens	249403	Scaffold	0	31364	31364	Unknown	SAMEA117660455	2025/02/13 00:00	Unknown	1.13	GCA_965138315.1_CIP109230T_genomic.fna.gz
GCA_001949125.1	GCA_001949125.1	ASM194912v1	Deinococcus marmoris (bacteria)	Unknown	Deinococcus marmoris	249408	Contig	0	58330	58330	Unknown	SAMN06013988	2017/01/12 00:00	Unknown	1.48	GCA_001949125.1_ASM194912v1_genomic.fna.gz
GCA_037914965.1	GCA_037914965.1	ASM3791496v1	Deinococcus sp. VB142 (bacteria)	Unknown	Deinococcus sp. VB142	3112952	Complete Genome	0	2826664	2826664	Unknown	SAMN40372354	2024/04/06 00:00	Unknown	1.02	GCA_037914965.1_ASM3791496v1_genomic.fna.gz
GCA_054352955.1	GCA_054352955.1	ASM5435295v1	Deinococcus sp. PESE-13 (bacteria)	Unknown	Deinococcus sp. PESE-13	3568620	Complete Genome	0	2796415	2796415	Unknown	SAMN54354953	2026/01/05 00:00	Unknown	1.01	GCA_054352955.1_ASM5435295v1_genomic.fna.gz
GCA_013401415.1	GCA_013401415.1	ASM1340141v1	Deinococcus sp. D7000 (bacteria)	Unknown	Deinococcus sp. D7000	2755035	Complete Genome	0	3492515	3492515	Unknown	SAMN14832922	2020/07/10 00:00	Unknown	1.25	GCA_013401415.1_ASM1340141v1_genomic.fna.gz
GCA_014875835.1	GCA_014875835.1	ASM1487583v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	28634	30944	Unknown	SAMN16242087	2020/10/10 00:00	Unknown	0.94	GCA_014875835.1_ASM1487583v1_genomic.fna.gz
GCA_025997855.1	GCA_025997855.1	ASM2599785v1	Deinococcus aetherius (bacteria)	Unknown	Deinococcus aetherius	200252	Complete Genome	0	3135460	3135460	Unknown	SAMD00518143	2022/08/03 00:00	Unknown	2.15	GCA_025997855.1_ASM2599785v1_genomic.fna.gz
GCA_014648095.1	GCA_014648095.1	ASM1464809v1	Deinococcus ruber (bacteria)	Unknown	Deinococcus ruber	1848197	Contig	0	99908	99908	Unknown	SAMD00245319	2020/09/12 00:00	Unknown	2.66	GCA_014648095.1_ASM1464809v1_genomic.fna.gz
GCA_042427565.1	GCA_042427565.1	ASM4242756v1	Deinococcus wulumuqiensis (bacteria)	Unknown	Deinococcus wulumuqiensis	980427	Contig	0	2896610	2896610	Unknown	SAMN43281906	2024/09/28 00:00	Unknown	1.04	GCA_042427565.1_ASM4242756v1_genomic.fna.gz
GCA_014201885.1	GCA_014201885.1	ASM1420188v1	Deinococcus budaensis (bacteria)	Unknown	Deinococcus budaensis	1665626	Scaffold	0	240529	240529	Unknown	SAMN14908303	2020/08/14 00:00	Unknown	1.04	GCA_014201885.1_ASM1420188v1_genomic.fna.gz
GCA_020984885.1	GCA_020984885.1	ASM2098488v1	Deinococcus sp. 14RED07 (bacteria)	Unknown	Deinococcus sp. 14RED07	2745874	Contig	0	6711	6711	Unknown	SAMN15294740	2021/11/24 00:00	Unknown	3.02	GCA_020984885.1_ASM2098488v1_genomic.fna.gz
GCA_000685985.1	GCA_000685985.1	ASM68598v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Contig	0	140393	140393	Unknown	SAMN02743363	2014/05/08 00:00	Unknown	0.9	GCA_000685985.1_ASM68598v1_genomic.fna.gz
GCA_020546685.1	GCA_020546685.1	ASM2054668v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2644543	2644543	Unknown	SAMN11313123	2021/10/25 00:00	Unknown	0.9	GCA_020546685.1_ASM2054668v1_genomic.fna.gz
GCA_000701425.1	GCA_000701425.1	ASM70142v1	Deinococcus frigens DSM 12807 (bacteria)	Unknown	Deinococcus frigens	1121380	Scaffold	0	59201	62194	Unknown	SAMN02841173	2014/06/11 00:00	Unknown	1.12	GCA_000701425.1_ASM70142v1_genomic.fna.gz
GCA_009687825.1	GCA_009687825.1	ASM968782v1	Deinococcus kurensis (bacteria)	Unknown	Deinococcus kurensis	2662757	Contig	0	3333173	3333173	Unknown	SAMD00192131	2019/11/13 00:00	Unknown	1.23	GCA_009687825.1_ASM968782v1_genomic.fna.gz
GCA_002869765.1	GCA_002869765.1	ASM286976v1	Deinococcus planocerae (bacteria)	Unknown	Deinococcus planocerae	1737569	Contig	0	108247	108247	Unknown	SAMN04914635	2018/01/09 00:00	Unknown	1.18	GCA_002869765.1_ASM286976v1_genomic.fna.gz
GCA_009377345.1	GCA_009377345.1	ASM937734v1	Deinococcus terrestris (bacteria)	Unknown	Deinococcus terrestris	2651870	Contig	0	308062	308062	Unknown	SAMN12885546	2019/10/28 00:00	Unknown	0.95	GCA_009377345.1_ASM937734v1_genomic.fna.gz
GCA_000745915.1	GCA_000745915.1	ASM74591v1	Deinococcus misasensis DSM 22328 (bacteria)	Unknown	Deinococcus misasensis	1121382	Scaffold	0	103294	117101	Unknown	SAMN02746038	2014/08/28 00:00	Unknown	1.42	GCA_000745915.1_ASM74591v1_genomic.fna.gz
GCA_014647995.1	GCA_014647995.1	ASM1464799v1	Deinococcus arenae (bacteria)	Unknown	Deinococcus arenae	1452751	Scaffold	0	217615	249665	Unknown	SAMD00245312	2020/09/12 00:00	Unknown	2.1	GCA_014647995.1_ASM1464799v1_genomic.fna.gz
GCA_042648985.1	GCA_042648985.1	ASM4264898v1	Deinococcus metalli (bacteria)	Unknown	Deinococcus metalli	1141878	Contig	0	348958	348958	Unknown	SAMN43282079	2024/10/05 00:00	Unknown	1.19	GCA_042648985.1_ASM4264898v1_genomic.fna.gz
GCA_041878445.1	GCA_041878445.1	ASM4187844v1	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Scaffold	0	2648947	2648947	Unknown	SAMN43044303	2024/09/09 00:00	Unknown	0.89	GCA_041878445.1_ASM4187844v1_genomic.fna.gz
GCA_000482805.1	GCA_000482805.1	ASM48280v1	Deinococcus murrayi DSM 11303 (bacteria)	Unknown	Deinococcus murrayi	1121383	Scaffold	0	91608	132966	Unknown	SAMN02440753	2013/10/25 00:00	Unknown	0.76	GCA_000482805.1_ASM48280v1_genomic.fna.gz
GCA_001507665.1	GCA_001507665.1	ASM150766v1	Deinococcus actinosclerus (bacteria)	Unknown	Deinococcus actinosclerus	1768108	Complete Genome	0	3264334	3264334	Unknown	SAMN04325383	2016/01/08 00:00	Unknown	0.88	GCA_001507665.1_ASM150766v1_genomic.fna.gz
GCA_020984835.1	GCA_020984835.1	ASM2098483v1	Deinococcus sp. 12RED42 (bacteria)	Unknown	Deinococcus sp. 12RED42	2745872	Contig	0	8234	8234	Unknown	SAMN15294738	2021/11/24 00:00	Unknown	1.02	GCA_020984835.1_ASM2098483v1_genomic.fna.gz
GCA_042434695.1	GCA_042434695.1	ASM4243469v1	Deinococcus budaensis (bacteria)	Unknown	Deinococcus budaensis	1665626	Contig	0	260799	260799	Unknown	SAMN43281526	2024/09/28 00:00	Unknown	1.0	GCA_042434695.1_ASM4243469v1_genomic.fna.gz
GCA_000190555.1	GCA_000190555.1	ASM19055v1	Deinococcus proteolyticus MRP (bacteria)	Unknown	Deinococcus proteolyticus	693977	Complete Genome	0	2147060	2147060	Unknown	SAMN00016729	2011/02/28 00:00	Unknown	0.8	GCA_000190555.1_ASM19055v1_genomic.fna.gz
GCA_030804085.1	GCA_030804085.1	ASM3080408v1	Deinococcus enclensis (bacteria)	Unknown	Deinococcus enclensis	1049582	Contig	0	155769	155769	Unknown	SAMN35367926	2023/08/18 00:00	Unknown	1.11	GCA_030804085.1_ASM3080408v1_genomic.fna.gz
GCA_919654025.1	GCA_919654025.1	ASM91965402v1	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Complete Genome	0	2647123	2647123	Unknown	SAMEA9996585	2021/11/23 00:00	Unknown	0.9	GCA_919654025.1_ASM91965402v1_genomic.fna.gz
